Nomor,Kabupaten,Latitude,Longitude,Status,Dimensi,File
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-003,KOTA JAMBI,-1.58655,103.63146,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-003.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-004,KOTA JAMBI,-1.58752,103.63023,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-004.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-005,KOTA JAMBI,-1.58789,103.6307,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-005.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006,KOTA JAMBI,-1.5876,103.63046,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-006.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-007,KOTA JAMBI,-1.58789,103.6307,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-007.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG-001,KOTA JAMBI,-1.58652,103.62039,THUMBNAIL,210x248,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG-001.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG-002,KOTA JAMBI,-1.58622,103.62037,THUMBNAIL,210x248,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG-002.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG-003,KOTA JAMBI,-1.58596,103.62131,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG-003.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG-004,KOTA JAMBI,-1.58862,103.6262,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG-004.jpg
KOTA JAMBI-JAMBI TIMUR-SIJENJANG-001,KOTA JAMBI,-1.57993,103.63795,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-SIJENJANG-001.jpg
KOTA JAMBI-JAMBI TIMUR-SUNGAI ASAM-001,KOTA JAMBI,-1.59559,103.61843,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-SUNGAI ASAM-001.jpg
KOTA JAMBI-JAMBI TIMUR-SUNGAI ASAM-002,KOTA JAMBI,-1.59725,103.6193,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-SUNGAI ASAM-002.jpg
KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-001,KOTA JAMBI,-1.5901,103.62886,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-001.jpg
KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-002,KOTA JAMBI,-1.59169,103.63118,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-002.jpg
KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-003,KOTA JAMBI,-1.59089,103.63237,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-003.jpg
KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-004,KOTA JAMBI,-1.59048,103.63073,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-004.jpg
KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005,KOTA JAMBI,-1.59057,103.63077,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-TANJUNG PINANG-005.jpg
